2025-10-17 | 19:00:27 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'pruebadam1'
2025-12-03 | 20:05:19 | Conexión a la DB | Conexión abierta correctamente
2025-12-03 | 20:05:25 | Inicializar factura. Edición: False | No se puede enlazar la propiedad o la columna idconceptofac en DataSource. (Parameter 'dataMember')
2025-12-03 | 20:15:02 | Conexión a la DB | Conexión abierta correctamente
2025-12-03 | 20:15:55 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-03 | 20:27:21 | Conexión a la DB | Conexión abierta correctamente
2025-12-03 | 20:27:55 | Conexión a la DB | Conexión abierta correctamente
2025-12-03 | 20:55:00 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 10:33:47 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 11:23:15 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 11:32:57 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 11:33:01 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-04 | 11:38:05 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 11:38:08 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-04 | 11:42:50 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 11:49:23 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-04 | 12:36:00 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 12:37:41 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 12:40:00 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 12:40:15 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-04 | 12:41:07 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 12:41:19 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-04 | 12:41:41 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 12:41:55 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-04 | 12:42:04 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 12:57:38 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 13:03:58 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 13:04:24 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 13:04:53 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 13:07:32 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 13:08:22 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-04 | 13:10:05 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 13:10:51 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-04 | 13:10:54 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 13:13:41 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-04 | 13:15:29 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 13:16:53 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-04 | 13:21:04 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 13:56:10 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-04 | 14:01:27 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 14:09:40 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 14:13:59 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-04 | 14:14:53 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 14:16:02 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-04 | 14:17:18 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 14:18:04 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-04 | 14:19:37 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 14:28:29 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 14:31:03 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-04 | 14:34:48 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 14:58:35 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 14:59:31 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-04 | 15:00:39 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 15:02:21 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 15:03:38 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 16:48:59 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 16:49:17 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-04 | 17:06:08 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 17:17:06 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 17:25:04 | Conexión a la DB | Conexión abierta correctamente
2025-12-04 | 17:36:34 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 12:45:21 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 13:03:58 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 15:49:11 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 15:51:33 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-05 | 15:51:38 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 15:51:56 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-05 | 15:54:19 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 15:54:45 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-05 | 15:57:43 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 15:59:07 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-05 | 16:03:15 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 16:04:06 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-05 | 16:14:46 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 16:20:52 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 16:32:14 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-05 | 17:10:24 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 17:11:00 | Guardar nueva factura | Object cannot be cast from DBNull to other types.
2025-12-05 | 17:12:20 | Guardar nueva factura | Object cannot be cast from DBNull to other types.
2025-12-05 | 17:31:44 | Guardar nueva factura | Object cannot be cast from DBNull to other types.
2025-12-05 | 17:33:00 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-05 | 17:33:03 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 17:41:25 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-05 | 18:52:50 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'facturadbdam'
2025-12-05 | 18:52:56 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'facturadbdam'
2025-12-05 | 18:53:14 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 18:53:50 | Guardar nueva factura | Object cannot be cast from DBNull to other types.
2025-12-05 | 18:54:17 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-05 | 18:54:20 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 18:54:50 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-05 | 18:56:38 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 18:57:01 | Guardar nueva factura | Object cannot be cast from DBNull to other types.
2025-12-05 | 18:57:25 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-05 | 18:57:27 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 18:58:15 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-05 | 19:15:42 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 19:18:36 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 19:19:40 | Guardar nueva factura | Object cannot be cast from DBNull to other types.
2025-12-05 | 19:26:24 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 19:34:20 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 19:35:21 | Conexión a la DB | Conexión abierta correctamente
2025-12-05 | 19:40:38 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-07 | 20:18:54 | Conexión a la DB | Conexión abierta correctamente
2026-01-07 | 20:19:39 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-07 | 20:20:42 | Conexión a la DB | Conexión abierta correctamente
2026-01-07 | 20:21:24 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-08 | 11:09:55 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'dbfacturadam'
2026-01-08 | 11:10:05 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'dbfacturadam'
2026-01-08 | 11:11:48 | Conexión a la DB | Conexión abierta correctamente
2026-01-08 | 11:12:18 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-08 | 11:14:28 | Conexión a la DB | Conexión abierta correctamente
2026-01-08 | 11:14:40 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-08 | 11:16:07 | Conexión a la DB | Conexión abierta correctamente
2026-01-08 | 11:17:47 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-08 | 11:18:18 | Conexión a la DB | Conexión abierta correctamente
2026-01-08 | 11:18:44 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-08 | 11:29:54 | Conexión a la DB | Conexión abierta correctamente
2026-01-08 | 11:30:06 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-08 | 11:41:45 | Conexión a la DB | Conexión abierta correctamente
2026-01-08 | 11:43:08 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-11 | 16:45:04 | Conexión a la DB | Conexión abierta correctamente
2026-01-11 | 16:48:03 | Conexión a la DB | Conexión abierta correctamente
2026-01-11 | 16:48:29 | Conexión a la DB | Conexión abierta correctamente
2026-01-11 | 16:49:23 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-11 | 16:53:34 | Conexión a la DB | Conexión abierta correctamente
2026-01-11 | 16:55:20 | Conexión a la DB | Conexión abierta correctamente
2026-01-11 | 16:57:09 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-11 | 17:51:21 | Conexión a la DB | Conexión abierta correctamente
2026-01-11 | 17:56:40 | Conexión a la DB | Conexión abierta correctamente
2026-01-11 | 17:57:09 | Conexión a la DB | Conexión abierta correctamente
2026-01-11 | 17:57:17 | Conexión a la DB | Conexión abierta correctamente
2026-01-11 | 17:57:25 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-11 | 17:57:58 | Conexión a la DB | Conexión abierta correctamente
2026-01-11 | 17:58:02 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-11 | 18:29:54 | Conexión a la DB | Conexión abierta correctamente
2026-01-11 | 18:30:25 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-11 | 18:30:40 | Conexión a la DB | Conexión abierta correctamente
2026-01-11 | 18:31:10 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-11 | 18:31:12 | Conexión a la DB | Conexión abierta correctamente
2026-01-11 | 18:32:39 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-11 | 18:41:58 | Conexión a la DB | Conexión abierta correctamente
2026-01-11 | 18:42:24 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-11 | 21:13:38 | Conexión a la DB | Conexión abierta correctamente
2026-01-11 | 21:14:30 | Cargando emisores | Table 'dbfacturadam.producto' doesn't exist
2026-01-11 | 21:17:23 | Conexión a la DB | Conexión abierta correctamente
2026-01-11 | 21:28:40 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-12 | 01:38:35 | Conexión a la DB | Conexión abierta correctamente
2026-01-12 | 01:38:39 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-12 | 08:40:45 | Conexión a la DB | Conexión abierta correctamente
2026-01-12 | 08:46:43 | Conexión a la DB | Conexión abierta correctamente
2026-01-12 | 09:02:30 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-12 | 11:26:36 | Conexión a la DB | Conexión abierta correctamente
2026-01-12 | 11:31:00 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-12 | 11:31:39 | Conexión a la DB | Conexión abierta correctamente
2026-01-12 | 11:32:33 | Conexión a la DB | Conexión abierta correctamente
2026-01-12 | 13:17:27 | Conexión a la DB | Conexión abierta correctamente
2026-01-12 | 13:39:32 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-12 | 13:48:11 | Conexión a la DB | Conexión abierta correctamente
2026-01-12 | 13:50:01 | Conexión a la DB | Conexión abierta correctamente
2026-01-15 | 10:19:25 | Conexión a la DB | Conexión abierta correctamente
2026-01-15 | 10:19:28 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-15 | 10:24:20 | Conexión a la DB | Conexión abierta correctamente
2026-01-15 | 11:19:46 | Conexión a la DB | Conexión abierta correctamente
2026-01-15 | 11:19:59 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-15 | 11:20:33 | Conexión a la DB | Conexión abierta correctamente
2026-01-15 | 11:31:48 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-15 | 11:38:18 | Conexión a la DB | Conexión abierta correctamente
2026-01-15 | 11:38:37 | Guardar factura | Field 'idemisor' doesn't have a default value
2026-01-15 | 11:39:31 | Conexión a la DB | Conexión abierta correctamente
2026-01-15 | 11:39:49 | Guardar factura | Field 'idemisor' doesn't have a default value
2026-01-15 | 11:46:22 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-15 | 12:10:22 | Conexión a la DB | Conexión abierta correctamente
2026-01-15 | 12:14:30 | Conexión a la DB | Conexión abierta correctamente
2026-01-15 | 12:18:51 | Conexión a la DB | Conexión abierta correctamente
2026-01-15 | 12:25:43 | Conexión a la DB | Conexión abierta correctamente
2026-01-15 | 12:26:29 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-15 | 12:28:23 | Conexión a la DB | Conexión abierta correctamente
2026-01-15 | 12:38:11 | Conexión a la DB | Conexión abierta correctamente
2026-01-15 | 12:42:45 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-15 | 14:31:23 | Conexión a la DB | Conexión abierta correctamente
2026-01-15 | 14:34:17 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-15 | 14:44:41 | Conexión a la DB | Conexión abierta correctamente
2026-01-15 | 14:49:58 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-15 | 14:51:48 | Conexión a la DB | Conexión abierta correctamente
2026-01-15 | 15:05:58 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-15 | 15:07:22 | Conexión a la DB | Conexión abierta correctamente
2026-01-15 | 15:10:14 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-15 | 15:17:27 | Conexión a la DB | Conexión abierta correctamente
2026-01-15 | 15:18:10 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-19 | 12:27:11 | Conexión a la DB | Conexión abierta correctamente
2026-01-19 | 12:36:34 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-19 | 12:39:21 | Conexión a la DB | Conexión abierta correctamente
2026-01-19 | 12:39:25 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-19 | 12:54:01 | Conexión a la DB | Conexión abierta correctamente
2026-01-19 | 12:57:43 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-19 | 13:05:38 | Conexión a la DB | Conexión abierta correctamente
2026-01-19 | 13:15:53 | Conexión a la DB | Conexión abierta correctamente
2026-01-19 | 13:54:31 | Conexión a la DB | Conexión abierta correctamente
2026-01-19 | 13:56:59 | Conexión a la DB | Conexión abierta correctamente
2026-01-19 | 14:12:42 | Conexión a la DB | Conexión abierta correctamente
2026-01-19 | 14:19:50 | Conexión a la DB | Conexión abierta correctamente
2026-01-19 | 14:21:27 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-19 | 14:21:52 | Conexión a la DB | Conexión abierta correctamente
2026-01-19 | 14:22:04 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-19 | 14:23:03 | Conexión a la DB | Conexión abierta correctamente
2026-01-19 | 14:23:13 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-19 | 14:25:15 | Conexión a la DB | Conexión abierta correctamente
2026-01-19 | 14:25:28 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-19 | 14:37:10 | Conexión a la DB | Conexión abierta correctamente
2026-01-19 | 14:48:42 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-19 | 14:57:52 | Conexión a la DB | Conexión abierta correctamente
2026-01-19 | 14:57:55 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-19 | 15:09:14 | Conexión a la DB | Conexión abierta correctamente
2026-01-19 | 15:11:08 | Conexión a la DB | Conexión abierta correctamente
2026-01-20 | 12:59:07 | Conexión a la DB | Conexión abierta correctamente
2026-01-20 | 13:04:17 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-20 | 14:16:10 | Conexión a la DB | Conexión abierta correctamente
2026-01-20 | 14:23:25 | Conexión a la DB | Conexión abierta correctamente
2026-01-20 | 14:34:56 | Conexión a la DB | Conexión abierta correctamente
2026-01-20 | 14:38:10 | Desonexión de la DB | Conexión cerrada correctamente.
2026-01-20 | 15:05:14 | Conexión a la DB | Conexión abierta correctamente
2026-01-20 | 15:07:20 | Desonexión de la DB | Conexión cerrada correctamente.
2026-02-13 | 16:42:08 | Conexión a la DB | Conexión abierta correctamente
2026-02-13 | 16:44:31 | Desonexión de la DB | Conexión cerrada correctamente.
2026-02-13 | 16:46:46 | Conexión a la DB | Conexión abierta correctamente
2026-02-13 | 16:53:44 | Desonexión de la DB | Conexión cerrada correctamente.
2026-02-13 | 17:01:34 | Conexión a la DB | Conexión abierta correctamente
2026-02-13 | 17:04:54 | Desonexión de la DB | Conexión cerrada correctamente.
2026-02-13 | 17:13:01 | Conexión a la DB | Conexión abierta correctamente
2026-02-13 | 17:20:31 | Conexión a la DB | Conexión abierta correctamente
2026-02-13 | 17:21:04 | Desonexión de la DB | Conexión cerrada correctamente.
2026-02-13 | 17:45:01 | Conexión a la DB | Conexión abierta correctamente
2026-02-13 | 17:46:15 | TieneFacturasEmitidas Proveedor | Unknown column 'f.idproveedor' in 'on clause'
2026-02-13 | 17:46:58 | Desonexión de la DB | Conexión cerrada correctamente.
2026-02-13 | 18:55:33 | Conexión a la DB | Conexión abierta correctamente
2026-02-13 | 18:56:09 | Desonexión de la DB | Conexión cerrada correctamente.
2026-02-13 | 18:56:58 | Conexión a la DB | Conexión abierta correctamente
2026-02-13 | 18:57:30 | Desonexión de la DB | Conexión cerrada correctamente.
